,Name,Data,Occupation,Location,Phone,Address
12,Rani’s Barber Shop,"         525 Mohawk Rd E, Hamilton, ON L8V 2J5, Canada        , +1 905-318-1555        , 64CX+J9 Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         525 Mohawk Rd E, Hamilton, ON L8V 2J5, Canada        , +1 905-318-1555        , 64CX+J9 Hamilton, Ontario, Canada        "
13,Emerson Hair Studio Barber Shop,"         142 Emerson St, Hamilton, ON L8S 2X9, Canada        , +1 905-527-6932        , 733H+98 Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         142 Emerson St, Hamilton, ON L8S 2X9, Canada        , +1 905-527-6932        , 733H+98 Hamilton, Ontario, Canada        "
14,Barberia (Neville's Barber Shop),"         447 King St E, Hamilton, ON L8N 1C5, Canada        , +1 289-244-3195        , 743V+6P Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         447 King St E, Hamilton, ON L8N 1C5, Canada        , +1 289-244-3195        , 743V+6P Hamilton, Ontario, Canada        "
15,Diamond Beauty and Barber,"         1030 Upper James St, Hamilton, ON L9C 6X6, Canada        , +1 289-426-0499        , 64C7+PX Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         1030 Upper James St, Hamilton, ON L9C 6X6, Canada        , +1 289-426-0499        , 64C7+PX Hamilton, Ontario, Canada        "
16,Russ mens hairstyling/barbershop,"         801 Mohawk Rd W, Hamilton, ON L9C 6C2, Canada        , Floor 1 · Harvard Square Mall        , +1 905-383-6831        , 63MG+7Q Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         801 Mohawk Rd W, Hamilton, ON L9C 6C2, Canada        , Floor 1 · Harvard Square Mall        , +1 905-383-6831        , 63MG+7Q Hamilton, Ontario, Canada        "
17,Tru Blendz,"         1051 Upper James St #200, Hamilton, ON L9C 3A6, Canada        , Floor 2 · SMSR Plaza        , +1 905-407-6363        , 64C8+87 Hamilton, Ontario, Canada        , Send to your phone        , Claim this business        ",Barbing Saloon,Hamilton Ontario, Claim this business        ,"         1051 Upper James St #200, Hamilton, ON L9C 3A6, Canada        , Floor 2 · SMSR Plaza        , +1 905-407-6363        , 64C8+87 Hamilton, Ontario, Canada        , Send to your phone        "
18,The Squire,"         1070 Main St W, Hamilton, ON L8S 1B3, Canada        , +1 905-525-3205        , 735R+9C Hamilton, Ontario, Canada        , Send to your phone        , Claim this business        ",Barbing Saloon,Hamilton Ontario, Claim this business        ,"         1070 Main St W, Hamilton, ON L8S 1B3, Canada        , +1 905-525-3205        , 735R+9C Hamilton, Ontario, Canada        , Send to your phone        "
19,Debonair Beauty Salon & Barber Shop,"         550 Fennell Ave E, Hamilton, ON L8V 4S9, Canada        , Located in: Fenworth Place Mall        , +1 905-389-2454        , 64JV+G2 Hamilton, Ontario, Canada        , Send to your phone        , Claim this business        ",Barbing Saloon,Hamilton Ontario, Claim this business        ,"         550 Fennell Ave E, Hamilton, ON L8V 4S9, Canada        , Located in: Fenworth Place Mall        , +1 905-389-2454        , 64JV+G2 Hamilton, Ontario, Canada        , Send to your phone        "
20,Crows Nest Barbershop,"         10 Edinburgh Ave, Hamilton, ON L8H 2C3, Canada        , +1 289-389-9000        , 65XM+F8 Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         10 Edinburgh Ave, Hamilton, ON L8H 2C3, Canada        , +1 289-389-9000        , 65XM+F8 Hamilton, Ontario, Canada        "
21,Upper Cuts,"         1216 Upper Wentworth St, Hamilton, ON L9A 4W2, Canada        , +1 905-381-9855        , 646J+6V Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         1216 Upper Wentworth St, Hamilton, ON L9A 4W2, Canada        , +1 905-381-9855        , 646J+6V Hamilton, Ontario, Canada        "
22,Leonardo's Barber & Hair Styling,"         253 Cannon St E, Hamilton, ON L8L 2B2, Canada        , +1 289-389-5754        , 745V+7G Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         253 Cannon St E, Hamilton, ON L8L 2B2, Canada        , +1 289-389-5754        , 745V+7G Hamilton, Ontario, Canada        "
23,Sam’s Barber Shop,"         87 Sanatorium Rd, Hamilton, ON L9C 1Y6, Canada        , +1 905-385-5138        , 64J3+RG Hamilton, Ontario, Canada        , Send to your phone        , Claim this business        ",Barbing Saloon,Hamilton Ontario, Claim this business        ,"         87 Sanatorium Rd, Hamilton, ON L9C 1Y6, Canada        , +1 905-385-5138        , 64J3+RG Hamilton, Ontario, Canada        , Send to your phone        "
24,Maverick Barber Studio - Jackson Square Mall,"         2 King St W, Hamilton, ON L8P 1A1, Canada        , Floor 1 · Jackson Square        , +1 905-577-0100        , 744J+V7 Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         2 King St W, Hamilton, ON L8P 1A1, Canada        , Floor 1 · Jackson Square        , +1 905-577-0100        , 744J+V7 Hamilton, Ontario, Canada        "
25,Elvena's Hair Styling & Barber Shop,"         463 Fennell Ave E, Hamilton, ON L9A 4V2, Canada        , +1 289-489-9907        , 64MR+4P Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         463 Fennell Ave E, Hamilton, ON L9A 4V2, Canada        , +1 289-489-9907        , 64MR+4P Hamilton, Ontario, Canada        "
26,Mike's Campus Barber Shop,"         1566 Main St W, Hamilton, ON L8S 1E2, Canada        , +1 905-528-1953        , 735F+38 Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         1566 Main St W, Hamilton, ON L8S 1E2, Canada        , +1 905-528-1953        , 735F+38 Hamilton, Ontario, Canada        "
27,CANCÚN BARBER SHOP,"         Back Door, 125 Victoria Ave S, Hamilton, ON L8N 2S9, Canada        , +1 647-501-5489        , 64XR+PQ Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         Back Door, 125 Victoria Ave S, Hamilton, ON L8N 2S9, Canada        , +1 647-501-5489        , 64XR+PQ Hamilton, Ontario, Canada        "
28,Andi's Barbershop,"         1465 Main St E, Hamilton, ON L8K 1C5, Canada        , +1 905-545-5555        , 65QV+X2 Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         1465 Main St E, Hamilton, ON L8K 1C5, Canada        , +1 905-545-5555        , 65QV+X2 Hamilton, Ontario, Canada        "
29,First Barbershop,"         222 King St W, Hamilton, ON L8P 1A9, Canada        , +1 905-464-8883        , 745F+GJ Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         222 King St W, Hamilton, ON L8P 1A9, Canada        , +1 905-464-8883        , 745F+GJ Hamilton, Ontario, Canada        "
30,King Barber Shop,"         597 King St E, Hamilton, ON L8N 1E4, Canada        , +1 905-973-5478        , 743X+2J Hamilton, Ontario, Canada        , Send to your phone        , Claim this business        ",Barbing Saloon,Hamilton Ontario, Claim this business        ,"         597 King St E, Hamilton, ON L8N 1E4, Canada        , +1 905-973-5478        , 743X+2J Hamilton, Ontario, Canada        , Send to your phone        "
31,Goldentouch barbershop,"         931 Fennell Ave E, Hamilton, ON L8V 1W9, Canada        , +1 905-318-6669        , 65H5+CR Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         931 Fennell Ave E, Hamilton, ON L8V 1W9, Canada        , +1 905-318-6669        , 65H5+CR Hamilton, Ontario, Canada        "
32,SK Barbershop,"         288 Grays Rd, Hamilton, ON L8E 1V5, Canada        , +1 905-393-0833        , 67J5+9R Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         288 Grays Rd, Hamilton, ON L8E 1V5, Canada        , +1 905-393-0833        , 67J5+9R Hamilton, Ontario, Canada        "
33,Sherwood Men's Hairstyling,"         1101 Fennell Ave E, Hamilton, ON L8T 1S1, Canada        , +1 905-385-0477        , 65G9+9W Hamilton, Ontario, Canada        , Send to your phone        , Claim this business        ",Barbing Saloon,Hamilton Ontario, Claim this business        ,"         1101 Fennell Ave E, Hamilton, ON L8T 1S1, Canada        , +1 905-385-0477        , 65G9+9W Hamilton, Ontario, Canada        , Send to your phone        "
34,Glassbox Barbershop,"         475 King St W, Hamilton, ON L8P 1B8, Canada        , +1 905-962-6237        , 7468+7M Hamilton, Ontario, Canada        , Send to your phone        ",Barbing Saloon,Hamilton Ontario, Send to your phone        ,"         475 King St W, Hamilton, ON L8P 1B8, Canada        , +1 905-962-6237        , 7468+7M Hamilton, Ontario, Canada        "
