,Name,Occupation,Location,Phone,Address
16,Kalani Spa,Spa,Toronto Ontario,         +1 416-864-9410        ,"         100 Front St W, Toronto, ON M5J 1E3, Canada        ,         Floor 1 · Fairmont Royal York        "
17,The Spa at The St. Regis Toronto,Spa,Toronto Ontario,         +1 416-637-5595        ,"         325 Bay St., Toronto, ON M5H 4G3, Canada        "
18,Jiva Spa Toronto,Spa,Toronto Ontario,         +1 416-934-0100        ,"         390 Bloor St W, Toronto, ON M5S 1X4, Canada        "
19,Habibi Spa,Spa,Toronto Ontario,         +1 416-923-7868        ,"         917 Yonge St, Toronto, ON M4W 2H2, Canada        "
20,Laya Spa and Yoga,Spa,Toronto Ontario,         +1 647-438-9032        ,"         986 Queen St W, Toronto, ON M6J 1H1, Canada        "
21,Hand & Stone Massage and Facial Spa - Toronto Beaches,Spa,Toronto Ontario,         +1 416-901-8626        ,"         974 Kingston Rd, Toronto, ON M4E 1S9, Canada        "
22,The Spa at The St. Regis Toronto,Spa,Toronto Ontario,         +1 416-637-5595        ,"         325 Bay St., Toronto, ON M5H 4G3, Canada        "
23,The Spa At The Hazelton,Spa,Toronto Ontario,         +1 416-963-6307        ,"         118 Yorkville Ave, Toronto, ON M5R 1C2, Canada        ,         Floor 1 · The Hazelton Hotel Toronto        "
24,Aionios Med Spa,Spa,Toronto Ontario,         +1 800-840-8506        ,"         138 Cumberland St U 7, Toronto, ON M5R 1A6, Canada        ,         aioniosmedspa.com        "
25,Nabi Spa,Spa,Toronto Ontario,         +1 416-657-0985        ,"         679 St Clair Ave W 2nd Floor, Toronto, ON M6C 1A7, Canada        ,         nabispa.com        "
26,The Spa at the Old Mill,Spa,Toronto Ontario,         +1 416-232-3700        ,"         9 Old Mill Rd, Etobicoke, ON M8X 1G5, Canada        ,         Floor 1 · Old Mill Toronto Hotel        ,         secure-booker.com        "
27,Alma Natural Spa,Spa,Toronto Ontario,         +1 416-546-7462        ,"         2105 Yonge St, Toronto, ON M4S 2A4, Canada        "
28,Caudalie,Spa,Toronto Ontario,         +1 416-551-9455        ,"         17 Hazelton Ave, Toronto, ON M5R 2E1, Canada        ,         caudalie.com        "
29,Oriental Natural Health Spa,Spa,Toronto Ontario,         +1 647-345-8877        ,"         465 Dundas St W, Toronto, ON M5T 1G8, Canada        "
30,Hand & Stone Massage and Facial Spa - College Street,Spa,Toronto Ontario,         +1 416-321-1221        ,"         578 College St, Toronto, ON M6G 1G3, Canada        "
31,Touch Massage Bar,Spa,Toronto Ontario,         +1 416-260-2256        ,"         451 King St W Suite 102, Toronto, ON M5V 3M4, Canada        "
32,Upper Village Spa,Spa,Toronto Ontario,         +1 416-782-1539        ,"         997 Eglinton Ave W, Toronto, ON M6C 2C7, Canada        "
33,Ylang-Ylang Authentic Thai Spa,Spa,Toronto Ontario,         +1 437-224-1577        ,"         222 Spadina Ave. Unit 145 B & C, Toronto, ON M5T 3B3, Canada        ,         Floor 1 · Chinatown Centre        ,         massagebook.com        "
34,Aum Ayurvedic & Thai Massage,Spa,Toronto Ontario,         +1 416-323-3838        ,         aumspatoronto.com        
35,Nasha Massage Spa,Spa,Toronto Ontario,         +1 416-581-1653        ,"         428 Dundas St W, Toronto, ON M5T 1G7, Canada        ,         Located in: Chinatown Centre        "
36,Stillwater Spa,Spa,Toronto Ontario,         +1 647-948-3120        ,"         4 Avenue Rd, Toronto, ON M5R 2E8, Canada        ,         Floor 1 · Park Hyatt Toronto        ,         spatime.com        "
37,New Happy Feet Spa,Spa,Toronto Ontario,         +1 416-925-9968        ,"         128 1/2 Cumberland St, Toronto, ON M5R 1A6, Canada        "
38,Studios Vis a Vis | Facial Spa,Spa,Toronto Ontario,         +1 416-537-3232        ,"         780 College St, Toronto, ON M6G 1C6, Canada        "
39,Comfrey Spa,Spa,Toronto Ontario,         +1 416-792-8457        ,"         1252 Bloor St W, Toronto, ON M6H 1N5"
40,Vbeauty Spa,Spa,Toronto Ontario,         +1 416-839-1771        ,"         182 Davenport Rd 2nd Floor, Toronto, ON M5R 1J2, Canada        "
